timestamp,open,high,low,close,volume
2024-09-30 04:00:00,571.5,571.6,570.85,571.14,26705
2024-09-30 05:00:00,570.96,571.42,570.68,571.33,14392
2024-09-30 06:00:00,571.25,571.42,570.75,571.0,9935
2024-09-30 07:00:00,570.9,570.9,569.8,570.02,152174
2024-09-30 08:00:00,570.7604,572.0,569.89,570.22,122221
2024-09-30 09:00:00,570.25,571.49,570.07,570.6492,2598982
2024-09-30 10:00:00,570.62,571.63,570.25,571.27,2515923
2024-09-30 11:00:00,571.29,571.82,570.7311,571.565,2170464
2024-09-30 12:00:00,571.57,572.26,571.5376,571.58,1980019
2024-09-30 13:00:00,571.57,571.71,570.91,571.59,1910070
2024-09-30 14:00:00,571.58,571.63,568.08,570.541,6987542
2024-09-30 15:00:00,570.55,574.38,569.93,574.02,14692190
2024-09-30 16:00:00,574.02,574.1,572.9575,572.96,7764350
2024-09-30 17:00:00,572.96,573.3,572.86,573.18,294403
2024-09-30 18:00:00,573.17,573.26,572.56,573.1,121517
2024-09-30 19:00:00,573.05,573.27,572.84,573.24,30324
2024-10-01 04:00:00,573.5,573.81,573.12,573.16,14659
2024-10-01 05:00:00,573.17,573.41,573.0,573.41,11461
2024-10-01 06:00:00,573.33,574.27,573.33,574.16,94024
2024-10-01 07:00:00,574.15,574.38,573.34,573.62,97446
2024-10-01 08:00:00,574.25,574.352,572.88,573.53,81699
2024-10-01 09:00:00,573.51,573.69,568.53,569.56,7637850
2024-10-01 10:00:00,569.5,570.32,566.61,568.03,9932675
2024-10-01 11:00:00,568.05,569.47,566.0,568.37,6958537
2024-10-01 12:00:00,568.3202,569.6,566.57,568.37,5780899
2024-10-01 13:00:00,568.3486,569.37,566.27,569.34,7030891
2024-10-01 14:00:00,569.32,570.93,569.28,570.4,5354634
2024-10-01 15:00:00,570.38,570.49,568.38,568.69,7203606
2024-10-01 16:00:00,568.69,569.33,568.4,568.45,2614201
2024-10-01 17:00:00,568.42,568.69,568.4,568.69,49115
2024-10-01 18:00:00,568.73,568.98,567.19,567.64,197865
2024-10-01 19:00:00,567.47,568.07,566.98,567.76,234081
2024-10-02 04:00:00,567.59,568.35,567.59,567.95,33846
2024-10-02 05:00:00,567.68,567.68,566.64,567.0,18507
2024-10-02 06:00:00,566.91,568.13,566.37,567.84,28021
2024-10-02 07:00:00,567.89,568.06,567.04,567.15,82389
2024-10-02 08:00:00,567.11,568.7,566.98,567.94,266449
2024-10-02 09:00:00,567.96,568.08,565.27,567.08,4163481
2024-10-02 10:00:00,567.07,569.71,566.89,568.3,4151583
2024-10-02 11:00:00,568.31,569.9,568.11,569.51,2665469
2024-10-02 12:00:00,569.52,569.79,567.84,567.8609,2152442
2024-10-02 13:00:00,567.865,569.15,567.57,569.06,2384042
2024-10-02 14:00:00,569.06,569.37,567.74,568.89,2457951
2024-10-02 15:00:00,568.89,569.46,568.7,568.85,5113833
2024-10-02 16:00:00,568.82,570.1,568.64,569.77,1856898
2024-10-02 17:00:00,569.84,569.93,569.6,569.623,19320
2024-10-02 18:00:00,569.68,570.0,569.52,569.63,66721
2024-10-02 19:00:00,569.63,569.8,569.37,569.75,32205
2024-10-03 04:00:00,567.78,567.78,566.11,566.86,36121
2024-10-03 05:00:00,566.94,567.2,566.65,567.1,9104
2024-10-03 06:00:00,567.2,567.48,566.8,567.47,22365
2024-10-03 07:00:00,567.58,568.35,567.3,568.34,77833
2024-10-03 08:00:00,568.38,568.73,565.9,567.37,232666
2024-10-03 09:00:00,567.41,568.29,566.82,567.84,2860868
2024-10-03 10:00:00,567.81,569.8025,566.24,566.68,6342347
2024-10-03 11:00:00,566.67,568.9799,566.24,568.44,2291357
2024-10-03 12:00:00,568.46,569.16,565.86,566.4,3233549
2024-10-03 13:00:00,566.4,567.45,565.49,567.089,3670048
2024-10-03 14:00:00,567.0609,567.42,566.47,566.76,1783344
2024-10-03 15:00:00,566.77,568.27,566.05,567.78,6946293
2024-10-03 16:00:00,567.8,568.26,567.3,567.32,2321778
2024-10-03 17:00:00,567.45,567.53,567.32,567.4994,52384
2024-10-03 18:00:00,567.28,568.1,567.0,567.79,80313
2024-10-03 19:00:00,567.78,567.92,567.51,567.8001,40399
2024-10-04 04:00:00,568.73,568.93,568.15,568.21,12095
2024-10-04 05:00:00,568.23,568.9,568.13,568.9,11918
2024-10-04 06:00:00,569.12,569.65,569.1,569.16,22515
2024-10-04 07:00:00,569.15,569.84,569.02,569.6,118804
2024-10-04 08:00:00,569.42,573.01,567.55,572.91,1898315
2024-10-04 09:00:00,572.91,573.24,569.89,570.11,5293327
2024-10-04 10:00:00,570.14,571.16,568.1,570.05,5476674
2024-10-04 11:00:00,570.035,570.73,568.28,570.47,3231450
2024-10-04 12:00:00,570.47,571.51,569.43,571.05,3085822
2024-10-04 13:00:00,571.015,571.57,569.58,570.2387,2573710
2024-10-04 14:00:00,570.22,571.56,569.7,571.5,2406349
2024-10-04 15:00:00,571.49,573.36,571.15,572.91,6552443
2024-10-04 16:00:00,572.9,573.03,572.42,572.48,2221847
2024-10-04 17:00:00,572.58,572.98,572.5,572.6,58723
